1;45,0;48896
2;45,333332;49377
3;45,333332;50722
4;46,333332;47677
5;46,333332;51881
6;46,333332;49263
7;46,666668;48884
8;47,0;50576
9;47,0;48973
10;47,333332;47921
11;47,333332;49937
12;47,666668;50673
13;47,666668;49950
14;47,666668;50317
15;47,666668;50824
16;48,333332;50310
17;48,333332;47761
18;48,333332;48118
19;48,666668;48565
20;48,666668;50196
21;48,666668;48362
22;49,0;48814
23;49,0;48404
24;49,0;48093
25;49,0;48225
26;49,0;49178
27;49,333332;47758
28;49,333332;49882
29;49,666668;48399
30;49,666668;49915
31;49,666668;49054
32;50,0;49282
33;50,0;48865
34;50,0;49313
35;50,0;48755
36;50,0;48664
37;50,0;49433
38;50,0;49935
39;50,0;48221
40;50,0;49625
41;50,0;47313
42;50,666668;48617
43;50,666668;50301
44;50,666668;49132
45;50,666668;49440
46;50,666668;48562
47;50,666668;48898
48;50,666668;48527
49;50,666668;49555
50;50,666668;48931
51;51,0;48792
52;51,0;47211
53;51,0;49762
54;51,0;47760
55;51,0;48922
56;51,0;48334
57;51,0;48076
58;51,333332;49913
59;51,333332;48351
60;51,333332;49641
61;51,333332;48944
62;51,333332;48335
63;51,333332;48620
64;51,333332;49310
65;51,666668;47399
66;51,666668;48837
67;51,666668;48165
68;51,666668;48870
69;51,666668;48773
70;51,666668;48077
71;51,666668;49524
72;51,666668;48489
73;51,666668;48942
74;51,666668;49055
75;51,666668;48953
76;51,666668;48001
77;51,666668;48395
78;51,666668;48282
79;51,666668;46862
80;51,666668;48150
81;51,666668;48004
82;51,666668;47875
83;51,666668;48981
84;51,666668;48829
85;51,666668;48897
86;51,666668;46899
87;51,666668;47685
88;51,666668;47908
89;51,666668;47155
90;51,666668;48129
91;51,666668;48376
92;51,666668;48173
93;52,0;47326
94;52,0;48064
95;52,0;48817
96;52,0;48413
97;52,0;48850
98;52,0;47867
99;52,0;48600
100;52,0;48406
101;52,0;48636
102;52,0;48792
103;52,0;48112
104;52,0;49250
105;52,0;47939
106;52,0;48793
107;52,0;48214
108;52,0;47983
109;52,0;48072
